Concept,Viewpoint,Subcategory,Category,Description,schema,ID,URL
Environmental management system,Enterprise (Science) Viewpoint,System,Project Management and Collaboration,A means of ensuring effective implementation of an environmental management plan or procedures and compliance with environmental policy objectives and targets. A key feature on any effective environmental management system (EMS) is the preparation of documented system procedures and instructions to ensure effective communication and continuity of implementation. There are certification systems for EMS ISO 14001 and EC's EMAS scheme (EMAS is now compatible with ISO 14001) which demonstrate that a system is operated to an internationally recognised standard. Alternatively a customised system can be developed addressing the particular needs of the operation.,,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Policy Makers,Enterprise (Science) Viewpoint,Role,Project Management and Collaboration,"Policy makers are individuals, often within official bodies, vested with the authority to determine which issues will be addressed within specific sectors and how these matters will be managed or resolved. They play a critical role in shaping and implementing policies that govern various aspects of society, ranging from economic and social policies to environmental and public health regulations.",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Company environmental policy ,Enterprise (Science) Viewpoint,Influence,Project Management and Collaboration,"In Eco-management and Auditing Scheme, environmental policy means the company's overall aims and principles of action with respect to the environment including compliance with all relevant regulatory requirements regarding the environment.",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Disaster management ,Enterprise (Science) Viewpoint,Influence,Project Management and Collaboration,The body of policy and administrative decisions and operational activities which pertain to the various stages of a disaster at all levels.,,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Conservation policy,Enterprise (Science) Viewpoint,Influence,Project Management and Collaboration,"The guiding procedure, philosophy or course of action for preserving and renewing human and natural resources. (Source: RHW / TOE)",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Scientific Impact,Enterprise (Science) Viewpoint,Metric,Impact and Outreach,"Scientific impact measurement is carried out using a number of established methods (such as the statistical analysis of bibliometric data), which undergo continual development, and is supported by a dedicated community. ",,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5959796e37fa4f9fc2fad626835dab8a34242992
Publication Metrics,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,"Publication metrics refer to various quantitative measures used to evaluate scholarly output. While the total number of papers published is a common metric, it may not fully capture the importance or impact of the work. Citation counts, which reflect how often a scholar's work is cited by others in the field, are often considered a more informative measure of scholarly impact. However, citation counts can be criticized for their potential inaccuracies and biases, such as being inflated by a few highly cited papers or including negative citations. The h-index, proposed by Hirsch in 2005, is another metric that measures scholarly output by considering both the number of papers published and the number of citations each paper receives. For example, an h-index of 21 indicates that a researcher has published 21 papers with at least 21 citations each. While some consider the h-index a superior metric for quantifying scientific achievement and predicting future success, critics argue that it may be biased and should be used in conjunction with other measures. Alternative metrics, such as the number of citations per article, have also been proposed as reliable indicators of scholarship and predictors of future scientific success.",,,DOI.org/0.13451aph.1L400
Research Evaluation,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,"Research evaluation has evolved since the 1990s to encompass measures of social, cultural, environmental, and economic returns from publicly funded research. Notably, the UK Research Assessment Exercise (RAE), operational since the 1980s, is renowned as a national evaluation system. However, it is slated to be succeeded by the Research Excellence Framework (REF) in 2014. The REF broadens the definition of research impact to include social, economic, environmental, and cultural benefits to end users at regional, national, and international levels. In this framework, research impact is assessed not only through quantitative metrics but also through narrative evidence in case studies, supported by informed peer review.",,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5959796e37fa4f9fc2fad626835dab8a34242992
Knowledge Transfer,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,"Knowledge Transfer (KT) aims to facilitate the exchange of technology, intellectual property (IP), and ideas between academic institutions and external entities such as companies, non-academic organizations, and the public sector. By enabling this two-way flow, KT stimulates innovation, leading to economic and social advancements. It allows publicly funded research organizations (PROs) to enhance their research and teaching activities. KT has become a recognized and expected activity for PROs, alongside teaching and research, and is often referred to as the ""third mission."" While not all institutions have fully embraced KT, many view it as a crucial mechanism for innovation and the dissemination of research findings.",,, https://publications.jrc.ec.europa.eu/repository/bitstream/JRC120716/kjna30218enn.pdf
Research Networks,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,"Research networks are structured platforms that facilitate collaborative efforts among multiple sites, formalizing and institutionalizing cooperation in research endeavors. These networks provide an infrastructure that enables members to actively engage in research activities, propose new studies, and leverage study data to advance the field. Additionally, research networks play a vital role in disseminating evidence-based practices among their members, promoting knowledge sharing and fostering innovation within the research community.",,, https://doi.org/10.3109/0142159X.2014.970991
Societal Impact,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,"Societal impact refers to the influence and effects of research and innovation on society at large, encompassing various dimensions such as economic, social, cultural, and environmental aspects. While there is growing recognition of the importance of measuring societal impact, research in this area is still in its early stages and lacks a dedicated community with specialized conferences and journals. Currently, methods for measuring societal impact are not robust or reliable, akin to the early stages of research and development (R&D) measurement in the 1960s. Despite this, societal impact is increasingly being considered in research evaluations, with initiatives like the Research Excellence Framework (REF) allocating a portion of evaluations to assess societal influence. However, the discrepancy between the importance of societal impact and the lack of well-developed measurement methods highlights a significant challenge in bridging the gap between research and practice.",,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5959796e37fa4f9fc2fad626835dab8a34242992
Leveling up,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,"""Levelling up"" refers to the development of policies aimed at distributing services and resources across all socioeconomic levels to ensure equitable access, particularly for the most disadvantaged groups, with the overarching aim of enhancing population health outcomes. This approach involves interventions designed to address disparities in health outcomes by targeting policy measures that influence the socioeconomic gradient in health. In contrast, ""closing the gap"" involves implementing targeted programs and services to improve the health of marginalized groups, thereby reducing disparities in health status between the most and least disadvantaged segments of the population.",,,doi.org/10.1136/jech-2018-210851
Policy Influence,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,"Policy influence refers to the capacity of individuals, groups, or entities to impact the development, implementation, or outcomes of policies within various domains such as politics, economics, or business. It encompasses the ability to shape the ideas, plans, and decisions that form the basis of policymaking processes. Examples of policy influence include influencing immigration policies, shaping government initiatives, and impacting legislative agendas through advocacy, lobbying, research, or other means of engagement with policymakers and decision-makers.",,, https://www.collinsdictionary.com/dictionary/english/influence-policy
Public Awareness,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,"Public awareness refers to the collective knowledge, understanding, and consciousness of a particular issue, topic, or phenomenon within society. It encompasses the extent to which individuals or groups are informed, educated, or cognizant of specific matters that may affect them or the broader community. Public awareness often involves disseminating information, raising consciousness, and fostering understanding among the general population through various channels such as media, education, advocacy, and community engagement initiatives. Examples of public awareness efforts include campaigns, educational programs, and advocacy initiatives aimed at informing and mobilizing individuals to address social, environmental, or political issues.",,,https://www.collinsdictionary.com/dictionary/english/public-awareness
Public awareness campaign,Enterprise (Science) Viewpoint,Tool,Impact and Outreach,"An organized, systematic effort through various communications media to alert the general population of a given area to anything of significant interest or concern. (Source: RHW)",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus/public-awareness-campaign
Sustainability Practices,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,"Sustainability practices involve actions that promote the well-being of ecological systems, human societies, and economic vitality. These practices aim to use resources conservatively and responsibly, considering both current and future needs. Sustainable use specifically refers to utilizing environmental resources in a manner that ensures their availability for future generations.",,,"https://www.sustain.ucla.edu/what-is-sustainability/, https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus"
Capacity Building,Enterprise (Science) Viewpoint,Characteristic,Impact and Outreach,Improving and building the technical and managerial skills and resources within an organisation.,,, https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Educational Workshops,Enterprise (Science) Viewpoint,Online Education,Impact and Outreach,"An educational workshop is a structured session or program designed to enhance knowledge, skills, or understanding in a particular subject area or field of study. It provides opportunities for participants to engage in hands-on learning activities, discussions, and exercises aimed at developing or improving their competencies, expertise, or awareness within an educational context.",,,https://www.collinsdictionary.com/dictionary/english/educational-workshop
Online Tutorials,Enterprise (Science) Viewpoint,Online Education,Impact and Outreach,A video demonstration of how to perform an activity or task.,,, https://www.oed.com/dictionary/tutorial_adj?tab=meaning_and_use#1322573720
Certification Programs,Enterprise (Science) Viewpoint,Online Education,Impact and Outreach,A certificate program is a specialized education designed to develop or strengthen specific career skills. ,,, https://www.coursera.org/articles/certificate-programs
Societal Engagement and Outreach,Enterprise (Science) Viewpoint,Societal Engagement,Impact and Outreach,"Social engagement and outreach encompass a range of activities aimed at reaching, identifying, and engaging individuals and communities within the behavioral health system. This includes efforts to involve peers, families, and other stakeholders in mental health and substance abuse support networks. The goal of social engagement and outreach is to reduce disparities in access to and utilization of behavioral health services by ensuring that marginalized and underserved populations are connected with appropriate resources and support networks. These activities may involve community events, educational campaigns, peer support groups, counseling services, and other initiatives designed to promote mental wellness and provide assistance to those in need.",,," https://www.lawinsider.com/dictionary/outreach-and-engagement#:~:text=Outreach%20and%20Engagement%20means%20activities,in%20the%20provision%20of%20activities."
Public Consultations,Enterprise (Science) Viewpoint,Societal Engagement,Impact and Outreach,"Public consultations refer to a communication process aimed at fostering dialogue and consultation among relevant stakeholders to achieve understanding and agreement in the planning and implementation of projects that serve the public interest. These consultations typically involve engaging with members of the public, community organizations, government agencies, and other stakeholders to gather input, feedback, and perspectives on proposed projects or policies. The goal is to ensure that the interests, concerns, and needs of the broader community are considered and addressed in the decision-making process, ultimately leading to more informed and inclusive outcomes.",,,https://www.lawinsider.com/dictionary/public-consultation
Science Communication,Enterprise (Science) Viewpoint,Societal Engagement,Impact and Outreach,"Science communication is a broad and inclusive term that encompasses various methods and approaches through which individuals, institutions, and communities within the realm of higher education share their research, knowledge, and insights with the public. This can include activities such as public lectures, workshops, exhibitions, social media engagement, citizen science projects, science festivals, and other initiatives aimed at fostering dialogue, understanding, and engagement between scientists and the broader community. The goal of science communication is to make scientific information accessible, engaging, and relevant to diverse audiences, ultimately promoting scientific literacy, informed decision-making, and public engagement with science and research.",,,"http://www.biomedcentral.com/1472-6963/12/478, 10.1186/1472-6963-12-478"
Citizen Science Projects,Enterprise (Science) Viewpoint,Societal Engagement,Impact and Outreach,"Citizen science projects are initiatives that engage members of the public, often in collaboration with academic or research institutions, in various aspects of scientific research. These projects can range in scale and scope, involving volunteers who actively contribute to different phases of the research process. This involvement may include tasks such as data collection, data categorization, analysis, and even co-creation of research questions or methodologies alongside professional researchers. Volunteers may undergo training or workshops to ensure they are adequately prepared for their roles within the project. The aim of citizen science projects is to harness the collective power of interested individuals to advance scientific knowledge, promote public engagement with science, and address research questions that may benefit from broader community involvement.",,," https://www.tudelft.nl/en/citizen-science/what-is-citizen-science#:~:text=A%20citizen%20science%20project%20involves,group%20of%20volunteers%20is%20assembled."
Stakeholder engagement,Enterprise (Science) Viewpoint,Stakeholder Engagement,Impact and Outreach,"Stakeholder engagement is the dynamic process of actively involving stakeholders, encompassing the public, policymakers, and industry leaders, in meaningful interactions. Through the use of virtual environments for stakeholders to interact with, they can potentially explore the ecosystem under scrutiny in an immersive and engaging manner. Through this interactive approach, stakeholders gain awareness of the vital importance of sustainable ecosystem development. By fostering participation and dialogue, stakeholder engagement seeks to inspire proactive action and enduring commitment to initiatives aimed at enhancing the sustainability and well-being of the ecosystem at hand.",,,https://doi.org/10.58440/ihr-29-a04
Environmental education,Enterprise (Science) Viewpoint,Stakeholder Engagement,Impact and Outreach,"Interactive visualisations can be used to inform people about the [ecosystem], its biodiversity, and the impacts of human activities on these systems. This can help build a greater understanding of the importance of sustainable [ecosystem] development and the need for action.",,, https://doi.org/10.58440/ihr-29-a04
Decision-making support,Enterprise (Science) Viewpoint,Stakeholder Engagement,Impact and Outreach,"Decision-making support involves providing stakeholders with tools, information, and resources to explore various scenarios and understand the impacts of different management strategies on ecosystem systems. These tools may include visualizations but can encompass a range of methods and techniques tailored to stakeholders' needs and preferences. By enabling stakeholders to assess different options and their potential consequences, decision-making support facilitates more effective and sustainable management practices, particularly in the protection of ecosystem areas. This approach empowers stakeholders to make informed decisions that contribute to the preservation and enhancement of ecosystems.",,, https://doi.org/10.58440/ihr-29-a04
Collaborative planning,Enterprise (Science) Viewpoint,Stakeholder Engagement,Impact and Outreach,"Collaborative planning in digital twins for ocean sustainability involves using interactive visualizations to create virtual environments where stakeholders can collectively address sustainability challenges. These tools enable collaboration among government agencies, industries, environmental organizations, and researchers to develop strategies for sustainable ocean management. By facilitating data-driven decision-making and cooperation, collaborative planning promotes greater understanding among stakeholders operating in the same area. This approach fosters the exchange of insights and expertise, leading to more effective environmental management policies.",,, https://doi.org/10.58440/ihr-29-a04
United Nations Sustainability Development Goals,Enterprise (Science) Viewpoint,,"Relevant Policies, Entities, and Laws","These are a set of targets established by the UN General Assembly to promote global sustainable development. SDG 14 (Life Below Water) specifically focuses on ocean sustainability. However, there is ongoing debate about the definition and frameworks for sustainability, with calls for a stronger interpretation that encompasses the value of nature beyond human-centered perspectives. Achieving these goals requires evolving international law to recognize the inherent rights of the ocean and its vital role in human health.",,, https://doi.org/10.1371/journal.pbio.3001828
UN Decade of Ocean Science for Sustainable Development: 10 challenges for collective impact and 7 societal outcomes,Enterprise (Science) Viewpoint,,"Relevant Policies, Entities, and Laws","The UN Decade of Ocean Science for Sustainable Development outlines 10 challenges and 7 societal outcomes aimed at addressing marine pollution, protecting ecosystems and biodiversity, ensuring sustainable global food supply, fostering a sustainable and equitable ocean economy, utilizing ocean-based solutions to combat climate change, enhancing community resilience to ocean hazards, expanding the Global Ocean Observing System, developing a digital representation of the ocean, promoting skills, knowledge, and technology for all, and transforming humanity’s relationship with the ocean. These outcomes seek to achieve a clean ocean, promote ecosystem understanding and management, support a productive ocean economy and sustainable food supply, enable society to predict and respond to changing ocean conditions, protect life and livelihoods from ocean-related hazards, ensure open and equitable access to ocean data and technology, and foster public understanding and appreciation of the ocean's importance for human well-being and sustainable development.",,,https://doi.org/10.1371/journal.pbio.3001828
The EcoHealth Network,Enterprise (Science) Viewpoint,,"Relevant Policies, Entities, and Laws","The EcoHealth Network is a collaborative and multidisciplinary global initiative that capitalizes on the interconnected advantages of ecological and human health, fostering mutual benefits to address pressing environmental and public health challenges.",,,https://doi.org/10.3389/fmicb.2022.938481
UN System of Environmental-Economic Accounting (SEEA EA),Enterprise (Science) Viewpoint,,"Relevant Policies, Entities, and Laws","This is a standardized framework that integrates ecosystem accounting principles with economic frameworks, enabling a comprehensive assessment of environmental and economic interactions. It facilitates informed decision-making and supports the development of sustainable strategies.",,,https://doi.org/10.3389/fmicb.2022.938481
The Natural Capital Project (NatCap),Enterprise (Science) Viewpoint,,"Relevant Policies, Entities, and Laws",NatCap is a global partnership aimed at enhancing human well-being through ecosystem restoration and nature-based solutions.,,,https://doi.org/10.3389/fmicb.2022.938481
The INCASE project,Enterprise (Science) Viewpoint,,"Relevant Policies, Entities, and Laws","This is a collaborative effort between scientists and stakeholders at a river catchment scale, aimed at testing the integration of natural capital principles. It was developed in Ireland (Farrell et al., 2021).",,,https://doi.org/10.3389/fmicb.2022.938481
User Interface,Computational Viewpoint,Visualisation,Digital Twin System,"User interfaces are the entry points through which users interact with designs, encompassing both physical interactions and broader human capabilities. The author's working definition emphasizes that they are intentionally designed artifacts connecting computational devices and human users. This connection enables effective coupling of human faculties with the capacities of the device for tasks related to specific objects. The user interface (UI) of a digital twin (DT) facilitates human interaction with the system. Various UI designs have been proposed for digital twins, with customization driven by specific user needs and preferences. Tailoring the DT UI to different user groups ensures that it aligns with their requirements and access permissions. A common example of a DT UI is a web page, which offers accessibility across different devices such as smartphones. However, web interfaces may be limited in tasks requiring three-dimensional perception or hands-on interaction. To address these limitations, technologies like head-mounted displays have been employed, enabling immersive experiences such as controlling robots through virtual reality DT visualization or displaying maintenance instructions using augmented reality.",,,"https://doi.org/10.1145/3565494.3565504, https://doi.org/10.1109/ACCESS.2019.2950507"
Mathematical and theoretical biology,Enterprise (Science) Viewpoint,Discipline,Biology Theory,"Mathematical and theoretical biology, also known as biomathematics, is a specialized branch of biology that utilizes theoretical analysis, mathematical models, and abstractions of living organisms to explore the underlying principles governing the structure, development, and behavior of biological systems. Unlike experimental biology, which primarily focuses on conducting experiments to validate scientific theories, mathematical and theoretical biology emphasizes the use of mathematical tools and theoretical principles to understand biological phenomena. The field encompasses various approaches, including mathematical modeling and computational simulations, to represent biological processes accurately. By employing techniques from applied mathematics, mathematical biology aims to provide quantitative descriptions of biological systems, facilitating better prediction of their behavior and properties. Due to the intricate nature of living systems, theoretical biology draws upon multiple mathematical disciplines and continually contributes to the development of novel analytical methods and modeling techniques.",subcategory,100,https://en.wikipedia.org/wiki/Mathematical_and_theoretical_biology
Dynamic System Modelling,Engineering Viewpoint,Tool,Biology Theory,"Dynamic System Modeling (DSM) involves creating time-dependent models to represent physical systems' behavior. These models capture various system characteristics, including dynamics, and are interdisciplinary, drawing practitioners from fields like computer science, engineering, philosophy, and life sciences. DSM ranges from general principles to specific applications across domains. The field has seen significant research in developing theories and approaches, with foundational contributions from cybernetics and systems theory, which view dynamic systems as control systems with feedback.",Item,101,https://doi.org/10.1201/9781420010855
Atmospheric Modelling,Technology Viewpoint,Tool,Biology Theory,"A simulation, pattern or plan designed to demonstrate the structure or workings of the atmosphere surrounding any object, such as the Earth. (Source: APD)",Item,102,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Ecological Modelling,Technology Viewpoint,Tool,Biology Theory,"Ecological modeling offers a means to explore ecological systems beyond what may be feasible in field tests due to logistical, political, or financial constraints. These models aid in organizing thoughts, revealing hidden assumptions, and identifying data needs. They can be conceptual, represented visually with boxes and arrows to illustrate relationships among ecosystem components, or quantitative, involving mathematical expressions and data to make predictions under specific conditions. Quantitative models guide research by aiding experiment design, conducting sensitivity analyses, and generating surrogate data for testing environmental indicators or sampling schemes. Predictive models can be empirical, based strictly on data, or mechanistic, incorporating hypotheses about ecological processes.",Item,103, https://doi.org/10.1641/0006-3568(2000)050[0694:AITTPO]2.0.CO;2
Species Distribution Modelling,Technology Viewpoint,Tool,Biology Theory,"Species Distribution Modeling (SDM) employs computer algorithms to forecast a species' spatial and temporal distribution using environmental data. While climate data like temperature and precipitation are commonly utilized, other factors such as soil type, water depth, and land cover may also be included. SDMs find applications in conservation biology, ecology, and evolution research, offering insights into how environmental conditions affect species occurrence and abundance, as well as enabling ecological forecasting. They can predict future species distributions under climate change scenarios, reconstruct past distributions for evolutionary analyses, or forecast the potential spread of invasive species.",subcategory,104, https://en.wikipedia.org/wiki/Species_distribution_modelling
Climate Modelling,Technology Viewpoint,Tool,Biology Theory,"Climate models, whether numerical or qualitative, are mathematical representations that simulate interactions among key components of the climate system, including the atmosphere, oceans, land surface, and ice. These models are instrumental for studying climate dynamics and projecting future climate conditions and changes. They account for incoming solar energy and outgoing terrestrial radiation, crucial for understanding the greenhouse effect. Climate models range from simple radiant heat transfer models to more complex coupled atmosphere-ocean-sea ice global models, which solve equations for mass and energy transfer. Additionally, Earth System Models incorporate land use and ecosystem interactions, enhancing predictions of climate-ecosystem dynamics. These models are based on fundamental principles of physics, fluid motion, and chemistry, applied to a 3-dimensional grid to simulate atmospheric processes, heat transfer, and interactions between climate components.",Item,105, https://en.wikipedia.org/wiki/Climate_model
Avibase,Technology Viewpoint,Tool,Ecological Technologies and Parameters,"Avibase is an online database specializing in bird taxonomy and distribution information worldwide. Unlike relying solely on taxonomic names, Avibase organizes data based on taxonomic concepts. It integrates taxonomic data from major avian taxonomic publishers and regional sources, mapping concepts from over 230 taxonomic sources for cross-referencing and comprehensive coverage.",Item,108, https://en.wikipedia.org/wiki/Avibase
Satellite Imagery,Technology Viewpoint,Tool,Ecological Technologies and Parameters,"A pictorial representation of data projected onto a two-dimensional grid of individual picture elements (pixels) and acquired from a human-made vessel placed in orbit round a planet, moon or star. (Source: RSG)",Item,109,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Remote Sensing,Technology Viewpoint,Tool,Ecological Technologies and Parameters,"Remote sensing refers to the scientific practice of detecting, recognizing, inventorying, and analyzing land and water areas using distant sensors or recording devices, such as photography, thermal scanners, radar, and others. It encompasses a variety of techniques for measuring the electromagnetic energy emitted by objects from a distance.",subcategory,110,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
UAV (Drones),Technology Viewpoint,Tool,Ecological Technologies and Parameters,"UAVs are aircraft that operate without a human pilot or passengers onboard. Recently, they've been employed to aid sensor nodes in transmitting data, overcoming limitations like short transmission distances and energy constraints. In wireless sensor networks (WSNs) or Internet of Things (IoT) networks, UAVs relay data from sensor nodes to base stations. Their swift data transmission capabilities make them valuable in time-sensitive applications, like disaster response. UAV-based monitoring applications, such as those tracking physical phenomena like temperature and humidity in specific geographic areas, hold significant promise for various fields.",Item,111,https://doi.org/10.3390/drones7040260
LiDAR,Technology Viewpoint,Tool,Ecological Technologies and Parameters,"LiDAR, or Light Detection and Ranging, is a remote sensing method that utilizes pulsed laser light to measure distances to the Earth's surface. By combining these light pulses with other data, LiDAR generates precise, three-dimensional information about the Earth's shape and surface features. The main components of a LiDAR instrument include a laser, a scanner, and a specialized GPS receiver. Typically conducted from airplanes or helicopters, LiDAR can be used for topographic mapping using near-infrared lasers and bathymetric mapping using green light to measure water depths.",Item,112,"https://oceanservice.noaa.gov/facts/lidar.html#:~:text=Lidar%20%E2%80%94%20Light%20Detection%20and%20Ranging,Lighthouse%2C%20Dry%20Tortugas%2C%20Florida."
Principle of Sustainability,Enterprise (Science) Viewpoint,Process,Ecological Monitoring and Management,"Principle stated by the World Commission on Environment and Development (The Bruntland Commission) in 1987: development that meets the needs of the present without compromising the needs of future generations. Sustainable development is a process of integrating economic, social and ecological goals, and should not mean a trade-off between the environment and development. Sustainable development should imply balance rather than conflict. (Source: GRAHAWa)",Item,80,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Ecological Thresholds,Enterprise (Science) Viewpoint,Metric,Ecological Monitoring and Management,"Ecological thresholds represent perceived limits for the cumulative impacts of multiple activities across regions. They are critical for Cumulative Impact Assessment (CIA) but are challenging to establish and apply due to inevitable trade-offs, especially when impacts span various temporal, spatial, and ecological scales. While theoretically ideal for assessing significance, identifying tipping points and establishing thresholds is difficult. Additionally, in assessing the ecological impacts of infrastructure like roads, there is often a lack of knowledge regarding thresholds of landscape fragmentation on wildlife population viability.",Item,81,https://doi.org/10.4337/9781783474028
Ecosystem Stability,Enterprise (Science) Viewpoint,Characteristic,Ecological Monitoring and Management,"Ecosystem stability refers to the ability of an ecosystem to maintain low variability, or little deviation from its average state, despite changing environmental conditions. This characteristic, known as resistance, indicates the system's capacity to withstand perturbations. Additionally, ecosystem stability encompasses resilience, which denotes the ecosystem's ability to recover and return to its original state following a disturbance.",Item,82, https://www.nature.com/scitable/knowledge/library/biodiversity-and-ecosystem-stability-17059965/
Climate Indicators,Enterprise (Science) Viewpoint,Asset,Ecological Monitoring and Management,"Parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.",Item,83, https://www.earthdata.nasa.gov/topics/climate-indicators
CIA threshold ,Enterprise (Science) Viewpoint,Metric,Ecological Monitoring and Management,"A Cumulative Impact Assessment (CIA) threshold refers to the perceived limit for the combined effects of multiple activities across regions. These thresholds are crucial in CIA processes but are challenging to determine and apply due to inevitable trade-offs. While theoretically ideal, identifying tipping points and establishing thresholds is difficult. Moreover, the lack of knowledge about specific thresholds adds complexity to assessing ecological impacts.",category,84,https://doi.org/10.1080/14615517.2022.211835984
CIA baseline,Enterprise (Science) Viewpoint,Metric,Ecological Monitoring and Management,"A CIA baseline is the initial assessment of the current environmental condition, crucial for evaluating cumulative impacts. It involves baseline studies that depict the existing state of the environment. Establishing a baseline helps prevent shifting baselines, where natural attributes degrade incrementally over time. Selecting an appropriate start date involves looking into the past to understand historical changes. Additionally, for forecasting social cumulative effects, baselines should provide a historical account of changes to valued social components. Understanding the context and development of the receiving environment before the baseline reference date is essential for accurate assessment.",Item,85,https://doi.org/10.1080/14615517.2022.211835984
Bio-indicator,Enterprise (Science) Viewpoint,Metric,Ecological Monitoring and Management,"A bio-indicator is a species or group of species that reflects the levels of contamination, both biotic and abiotic, in an environment.",Item,86,https://doi.org/10.3389/fmicb.2022.938481
Water Quality,Enterprise (Science) Viewpoint,Evaluation,Ecological Monitoring and Management,"A graded value of the components (organic and inorganic, chemical or physical) which comprise the nature of water. (Source: LANDY)",Item,42,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Soil management practices for Agricultural management practices or environmental changes,Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management,"Soil bio-indicators for agricultural or environmental management practices encompass a range of parameters. These include microbial biomass C, functionality, and diversity of microbial communities, as well as metabolic quotient (qCO2), microbial quotient (qMIC), enzyme activities, mineralizable carbon, nitrogen, phosphorus, and sulfur. Other indicators consist of soil respiration, soil organic matter/carbon, labile carbon pools, Carbon Management Index (CMI), Biological Index of Fertility, and Microbial index.",Item,88, https://doi.org/10.3389/fmicb.2022.938481
"Soil management practices for Land use intensification, different fertilizer history, Pollution of agrochemicals",Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management,"Soil microbial community (composition and structure), soil enzyme activity, 16S rRNA amplicon sequencing based operational taxonomic units (OTUs)",category,89, https://doi.org/10.3389/fmicb.2022.938481
"Soil management practices for Exposure of soils to trace (or, heavy) metals, organic pollutants, mine tailing, radioactive waste",Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management," Earthworm, acidophilic bacteria, stress proteins (hsp70 and hsp60), functional genes related to fatty acid metabolism (acc, fab, and fad genes), Shannon diversity index, metabolic quotient and cellulase activity, urease and invertase enzyme activities, nematode diversity, maturity index, cryptogamic biota (lichens and bryophytes)",subcategory,90, https://doi.org/10.3389/fmicb.2022.938481
"Soil management practices for Radioactive pollution, contaminated with radionuclides",Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management,"Earthworms, millipedes, collembolans and oribatid mites, land snails, aquatic mosses",Item,91, https://doi.org/10.3389/fmicb.2022.938481
Soil management practices for Wetland pollution and restoration,Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management," Microbial diversity and community comparison, Ratios of oligotrophic:copiotrophic organisms such as the ratio of ammonia-oxidizing archaea (AOA) to ammonia-oxidizing bacteria (AOB)",Item,92, https://doi.org/10.3389/fmicb.2022.938481
Soil management practices for Warming response of soil and effect of climate change,Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management," Microbial physiological indicators (carbon use efficiency, microbial turnover rate), kinetic analysis (Vmax and Km ) of nutrient (carbon, nitrogen and phosphorus) degrading enzymes",subcategory,93, https://doi.org/10.3389/fmicb.2022.938481
Soil management practices for Sandy ecosystems,Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management,Soil nematode communities,Item,94, https://doi.org/10.3389/fmicb.2022.938481
Soil management practices for Fire,Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management, N-Acetylglutamate synthase (NAG),Item,95, https://doi.org/10.3389/fmicb.2022.938481
Soil management practices for Sea level rise and salt-water intrusions,Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management, Soil bacterial taxa (Gammaproteobacteria and Bacteroidetes),Item,96, https://doi.org/10.3389/fmicb.2022.938481
Soil management practices for Aquatic environment,Enterprise (Science) Viewpoint,Action,Ecological Monitoring and Management,"Bioindicators: Fish, invertebrates, aquatic animals, microbiome (microbial community structure, diversity and patterns), metagenomic analysis,16s RNA, PCR and qPCR-based analysis, mass spectrometry imaging",subcategory,97, https://doi.org/10.3389/fmicb.2022.938481
